ID,t0,t,x,y,z,FI,TL
5656,36,52,525.649,177.48929,165.05719,332.8,37
5656,36,53,525.6566,177.79308,165.51768,400.8,37
5656,36,54,525.53827,178.38751,165.65309,405.5,37
5656,36,55,525.4643,178.0888,165.47034,464.2,37
5656,36,56,525.2702,178.28696,165.39972,471.0,37
5656,36,57,525.2848,178.10382,165.25157,518.5,37
5656,36,58,525.35474,178.16298,165.32416,516.0,37
5656,36,59,525.32916,178.3571,165.30708,412.2,37
5656,36,60,525.42865,177.92941,165.11342,443.0,37
5656,36,61,525.0421,178.12216,165.24007,394.2,37
5656,36,62,524.6426,178.40067,164.85226,372.5,37
5656,36,63,525.40796,180.00058,165.24252,299.5,37
5656,36,64,525.26605,179.90997,165.39941,315.0,37
5656,36,65,525.4363,179.3414,165.1318,280.8,37
5656,36,66,525.32776,179.31453,165.4621,278.2,37
5656,36,67,525.59515,179.60046,165.11186,276.2,37
5656,36,68,525.839,178.97978,165.1527,281.2,37
5656,36,69,525.5176,178.5974,165.15398,339.8,37
5656,36,70,525.3691,178.90515,165.1402,309.2,37
5656,36,71,525.29865,178.2834,164.44551,278.8,37
5656,36,77,526.0898,177.60782,164.75587,237.2,37
5656,36,79,526.1587,177.24815,165.10965,276.0,37
5992,39,39,566.8076,367.00955,154.27179,369.0,37
5992,39,40,565.795,366.81586,153.7629,312.5,37
5992,39,41,565.86395,366.68155,156.03662,318.8,37
5992,39,43,565.99536,365.997,161.99866,268.8,37
5992,39,46,557.92505,367.66757,163.84128,267.8,37
5992,39,47,558.0622,368.51456,163.06944,281.2,37
5992,39,48,557.584,368.68478,163.42627,311.5,37
5992,39,49,557.22437,368.77908,162.6499,290.8,37
5992,39,50,557.99225,369.9052,163.78922,303.0,37
5992,39,51,558.3458,370.74933,165.40498,309.5,37
5992,39,52,557.87335,372.74207,163.09264,293.8,37
5992,39,53,557.62036,371.79865,163.91628,330.5,37
5992,39,55,557.82623,372.05695,165.35744,372.8,37
5992,39,56,556.6982,371.5515,163.0042,355.5,37
5992,39,57,556.4491,371.81506,164.53618,359.5,37
5992,39,58,556.2275,371.852,162.88737,364.8,37
5992,39,59,556.0647,372.4912,161.08525,446.2,37
5992,39,60,555.0058,370.90433,161.99382,397.2,37
5992,39,67,551.5039,370.12122,160.61757,356.5,37
5992,39,68,551.1307,369.18457,160.61467,287.5,37
5992,39,70,550.64496,368.70615,163.64685,262.5,37
5992,39,71,549.069,369.4884,162.4175,286.5,37
5992,39,72,550.40247,370.52283,160.20628,310.0,37
5992,39,73,549.5938,370.92557,158.85196,310.5,37
5992,39,75,549.1954,368.11307,161.98146,238.6,37
5992,39,76,547.79987,368.3006,159.2133,294.5,37
5992,39,77,547.7777,368.85147,160.02835,301.0,37
5992,39,78,547.49023,368.4413,160.08855,315.2,37
5992,39,79,547.7634,369.45282,161.07944,314.0,37
5992,39,80,548.3012,369.83447,157.80072,314.2,37
5992,39,81,547.71326,370.79245,157.18913,330.5,37
5992,39,82,547.30475,370.77554,157.64963,318.2,37
5992,39,83,546.4737,369.70972,156.71858,337.5,37
5992,39,84,545.50323,370.04123,157.30713,361.5,37
5992,39,85,545.3897,369.83765,157.8113,366.8,37
5992,39,86,545.169,368.8074,157.26125,316.0,37
5992,39,99,544.0108,371.08905,157.66978,280.2,37
6002,39,39,301.52304,650.7665,28.03502,344.8,37
6002,39,40,301.57806,651.256,28.96439,415.8,37
6002,39,41,302.06113,649.3929,27.529259,409.2,37
