ID (CME),Track Length (CME),Track Coverage,Missing Time Points,Dino Data
3911.0,29.0,7,"[83.0, 84.0, 85.0, 86.0]","7105.0,1,3.724692259771276;3702.0,2,7.0775845329038285;7334.0,3,4.054578608832291;1008.0,10,3.095460049330325;11900.0,11,2.3444724463298634"
3912.0,3.0,0,"[84.0, 85.0, 86.0, 87.0, 88.0, 89.0, 90.0, 91.0, 92.0, 93.0, 94.0]","10629.0,1,21.547869816871195;11225.0,2,12.901490028066863;172.0,3,31.288431527820123;10627.0,4,10.28971556932504;172.0,5,32.13445775827936;67.0,6,26.107009649032964;10627.0,8,11.66078213955056;9718.0,9,31.820665687344885;10627.0,10,5.947682168209465"
3913.0,37.0,9,"[94.0, 95.0]","1864.0,1,1.6941202953155372;11759.0,10,14.278381468108693;3915.0,11,13.028753686328734"
3914.0,12.0,0,"[85.0, 86.0, 87.0, 88.0, 89.0, 90.0, 91.0, 92.0, 93.0, 94.0, 95.0]","10040.0,1,11.431704979915509;11230.0,4,10.823122126840293;11027.0,6,26.274050697259277;10508.0,7,10.242067272383302;7155.0,8,11.31501525393386;10508.0,9,9.099764954445195;4795.0,11,38.771442767486775"
3915.0,24.0,11,[],"8392.0,1,2.4131905687698807;1154.0,11,2.339465315515505"
3916.0,36.0,4,"[86.0, 87.0, 88.0, 93.0, 94.0, 95.0, 96.0]","4572.0,1,12.576354996536171;12171.0,4,2.3322443176691325;4572.0,8,13.498244393469273;8723.0,10,17.07580944911541;3892.0,11,21.239481720851867"
3917.0,27.0,7,"[86.0, 88.0, 93.0, 95.0]","11115.0,1,10.68891856921597;7496.0,2,1.2450847220266226;11115.0,3,8.868125461741913;7496.0,4,1.4994675940759776;9469.0,6,1.4113330363259255;11115.0,8,11.34783825409597;7496.0,9,1.1400217561520565"
3918.0,17.0,0,"[86.0, 87.0, 88.0, 89.0, 90.0, 91.0, 92.0, 93.0, 94.0, 95.0, 96.0]","11855.0,1,7.5481946808491776;7274.0,9,7.92540930822499;11855.0,10,9.682760742154084"
3919.0,16.0,7,"[87.0, 88.0, 96.0, 97.0]","9953.0,1,5.08328470133486"
3920.0,30.0,3,"[87.0, 88.0, 89.0, 90.0, 91.0, 92.0, 94.0, 97.0]","4989.0,1,4.495327967479103;9302.0,7,3.1037156659075507;4989.0,8,4.027421018021338;3125.0,9,3.461403911782044;5159.0,11,6.359912656672252"
3921.0,18.0,0,"[88.0, 89.0, 90.0, 91.0, 92.0, 93.0, 94.0, 95.0, 96.0, 97.0, 98.0]","6871.0,1,18.54883568004202;5062.0,2,18.94464869575575;797.0,9,9.588076031639517"
3922.0,35.0,0,"[88.0, 89.0, 90.0, 91.0, 92.0, 93.0, 94.0, 95.0, 96.0, 97.0, 98.0]","3853.0,1,4.613840990974886;6963.0,2,5.8762422383356565;3853.0,3,3.697283430479728;2755.0,4,3.653848795256851;6963.0,5,6.947746538821046;2755.0,6,3.63707376103372;8770.0,7,8.442412942968415;2755.0,8,4.573207749403042;6963.0,10,3.622694445298984"
3923.0,12.0,0,"[88.0, 89.0, 90.0, 91.0, 92.0, 93.0, 94.0, 95.0, 96.0, 97.0, 98.0]","7808.0,1,28.028093699975383;1026.0,2,28.16158511428829;7792.0,3,18.58192874140081;3015.0,4,17.59431270423768;7792.0,5,18.72527137246073;4689.0,6,14.596663513560204;9372.0,7,30.855801538284496;12344.0,8,31.029578433382333;4452.0,9,13.270532129519102"
3924.0,17.0,3,"[89.0, 90.0, 91.0, 92.0, 93.0, 95.0, 97.0, 98.0]","9622.0,1,2.163827638168068;11050.0,2,11.461305949594058;2033.0,3,6.18394529717882;11050.0,4,10.513926102617388;890.0,5,14.02917579636453;9624.0,6,12.753161575974056;970.0,7,2.057011328189558;2593.0,8,13.20536644861096;970.0,9,2.353645218464324;3724.0,10,13.3335217356181"
3925.0,37.0,0,"[89.0, 90.0, 91.0, 92.0, 93.0, 94.0, 95.0, 96.0, 97.0, 98.0, 99.0]","7777.0,1,9.100628516180912;2239.0,3,9.177196789653417;2440.0,8,12.543780984460966;7777.0,9,12.44761751360011;2239.0,10,10.724914324904232;7093.0,11,19.494737396283853"
3926.0,26.0,11,[],"5425.0,1,2.2260017823892477"
3927.0,67.0,11,[],"235.0,1,2.0294943074824565"
3928.0,52.0,11,[],"3728.0,1,1.4495281443628787;1366.0,2,1.4964165032290146;1722.0,3,1.5267109458378914;3099.0,4,1.4735192737116567;19.0,5,1.4740013077674732;3099.0,7,1.7640193950192142;10964.0,8,1.445381473440142"
3929.0,19.0,11,[],"11656.0,1,1.702820972189652"
3930.0,93.0,10,[89.0],"1942.0,1,58.138795597238015;6049.0,2,1.9223723512080515"
3931.0,21.0,1,"[89.0, 90.0, 91.0, 92.0, 94.0, 95.0, 96.0, 97.0, 98.0, 99.0]","704.0,1,6.625704332476627;10124.0,2,4.744039730335325;2126.0,5,2.298368733100909;8291.0,6,7.530228683174217;526.0,7,24.796996950882956;525.0,8,37.92493747182255;1916.0,9,28.030481990927317;526.0,10,24.751852632320315"
3932.0,18.0,0,"[89.0, 90.0, 91.0, 92.0, 93.0, 94.0, 95.0, 96.0, 97.0, 98.0, 99.0]","9472.0,1,15.3623469181432;3352.0,5,17.049677081948037;12043.0,6,31.168584169759797;9472.0,8,15.188570092343154;12043.0,9,26.924444788220548;9472.0,10,14.273978527893652;3276.0,11,47.12286835939552"
3933.0,12.0,1,"[89.0, 90.0, 91.0, 92.0, 93.0, 94.0, 95.0, 96.0, 97.0, 99.0]","8145.0,1,9.525022255107835;838.0,4,11.145141461180106;8145.0,5,9.038984317350078;7019.0,10,2.2004604323177626;838.0,11,12.468329836213991"
3934.0,1.0,0,"[89.0, 90.0, 91.0, 92.0, 93.0, 94.0, 95.0, 96.0, 97.0, 98.0, 99.0]","12146.0,1,20.117436000512654;1352.0,2,38.29987286602528;1223.0,3,17.342158233553302;10013.0,4,27.775631017669067;1223.0,5,15.76518021267439;10013.0,6,23.840856461138262;4136.0,7,24.17781460480402;10501.0,8,21.29867580914833;4493.0,10,13.233331557415887;12433.0,11,17.582293975235405"
3935.0,14.0,0,"[89.0, 90.0, 91.0, 92.0, 93.0, 94.0, 95.0, 96.0, 97.0, 98.0, 99.0]","7817.0,1,27.58593788309354;2916.0,2,63.55432889942982;703.0,3,60.0276609712756;8716.0,4,58.892921432197575;11429.0,5,21.47271143735752;12334.0,6,49.95165663563222;7817.0,10,22.86117058442382"
3936.0,16.0,9,"[89.0, 92.0]","8863.0,1,9.889207844498973;11463.0,2,2.9488824958787503;10753.0,5,2.6783156744558854;10397.0,9,3.090177348082186;10753.0,10,1.98702111513696;10397.0,11,2.968195885786497"
3937.0,41.0,5,"[89.0, 90.0, 96.0, 97.0, 98.0, 99.0]","7498.0,1,7.88293982692374;12216.0,3,1.3778606542027363;892.0,8,12.375719295568262"
3938.0,17.0,10,[91.0],"6355.0,1,2.9631498046673097"
3939.0,66.0,3,"[89.0, 90.0, 91.0, 92.0, 94.0, 95.0, 96.0, 99.0]","5061.0,1,9.24856964139323;8567.0,2,15.243531750842916;9588.0,3,15.175973352981352;5061.0,5,1.7005861597990084;7187.0,6,17.229181029903902;5061.0,7,9.755175380448057;9588.0,9,2.679428877093013;5061.0,11,8.999634260351899"
3940.0,16.0,0,"[89.0, 90.0, 91.0, 92.0, 93.0, 94.0, 95.0, 96.0, 97.0, 98.0, 99.0]","2810.0,1,11.189602098180249;5318.0,2,32.88089942153952;2810.0,3,12.62828891717716;6128.0,5,21.09301499752228;4262.0,6,17.898458682971086;6128.0,7,21.22429232977153;4262.0,8,16.646435561735153;6128.0,11,23.370985176992395"
3941.0,40.0,7,"[89.0, 90.0, 97.0, 99.0]","1601.0,1,4.188292841349599;9000.0,2,3.8972294913181615;1601.0,3,2.355194174245569;9000.0,4,2.9596105562050066;3804.0,9,13.380397043996794;9000.0,10,2.6905201145688995;11482.0,11,14.710515110511135"
3942.0,22.0,6,"[89.0, 90.0, 91.0, 92.0, 93.0]","8716.0,1,15.971723706378736;1250.0,2,36.50460922867821;8716.0,3,15.10963447373562;8605.0,5,10.659549032900038;8041.0,7,2.102864299957547;7297.0,8,2.57446481129572;8041.0,10,2.4326855870210817"
3943.0,22.0,5,"[89.0, 90.0, 91.0, 92.0, 95.0, 96.0]","7297.0,1,14.98116440192819;7823.0,2,33.14953826574661;8716.0,3,24.74925061430951;8605.0,5,2.973056169129645;8041.0,6,1.9978886454954936;7297.0,8,12.773373518558063;8605.0,9,1.5388715569858422;7297.0,10,1.5450619533937575;8605.0,11,1.667113025622447"
3944.0,9.0,10,[99.0],"8071.0,1,1.506469493916158;8699.0,4,3.2237331679281525;7836.0,6,2.010767031483305;9725.0,8,2.348373952866082"
3946.0,5.0,0,"[89.0, 90.0, 91.0, 92.0, 93.0, 94.0, 95.0, 96.0, 97.0, 98.0, 99.0]","10665.0,1,15.60943763694016;7787.0,4,29.43907426095463;1331.0,5,25.73353203546104;10667.0,7,27.13042391896963;832.0,10,22.11585495686976;10667.0,11,27.38259087644737"
3947.0,56.0,10,[95.0],"4420.0,1,2.4460526503550577"
3948.0,9.0,7,"[94.0, 95.0, 96.0, 97.0]","5188.0,1,2.936461249276089;11125.0,3,2.4469293405000485;1551.0,5,2.8413957012707445;1154.0,6,9.945799996023478;1551.0,10,1.3313871241678672"
3950.0,19.0,4,"[90.0, 91.0, 92.0, 93.0, 95.0, 96.0, 98.0]","6470.0,1,2.723161558281112;11801.0,2,5.348030805969611;4610.0,11,1.8009963221783498"
3951.0,64.0,0,"[89.0, 90.0, 91.0, 92.0, 93.0, 94.0, 95.0, 96.0, 97.0, 98.0, 99.0]","493.0,1,14.00698130615228;5116.0,3,5.619485189979952"
3952.0,75.0,11,[],"2921.0,1,2.2308145719445505;959.0,2,1.7139703413128278;2921.0,3,3.1099658345068844;619.0,9,2.1415354547146603"
3953.0,41.0,11,[],"5220.0,1,1.7308343945045734;3469.0,3,3.23365884483816;5220.0,4,2.3814443579685016;3469.0,6,1.3433445862473536;5220.0,8,1.8011153048042212"
3954.0,14.0,0,"[89.0, 90.0, 91.0, 92.0, 93.0, 94.0, 95.0, 96.0, 97.0, 98.0, 99.0]","7817.0,1,39.69403943603995;3352.0,2,51.10905455848796;9472.0,3,60.67549531558268;3352.0,5,50.271799474046105;12334.0,6,56.51308466898706;7817.0,10,29.44399319012496"
3955.0,21.0,0,"[89.0, 90.0, 91.0, 92.0, 93.0, 94.0, 95.0, 96.0, 97.0, 98.0, 99.0]","8129.0,1,7.90932270308909;6689.0,2,14.806420536914237;1182.0,3,10.377320380589545;8126.0,8,20.77076138892121;8688.0,9,24.56129448286056;3070.0,10,11.83008992102762;2224.0,11,12.740032691367007"
3956.0,24.0,0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]","209.0,1,44.52762805184604;1667.0,2,35.747306154717265;209.0,3,43.5968076525425;2090.0,4,40.36148297611103;2181.0,5,31.15660330084496;1668.0,7,38.92448571758485;2181.0,10,36.9198485750982"
3957.0,72.0,10,[],"106.0,1,1.6722722937416858"
3958.0,24.0,2,"[1.0, 3.0, 4.0, 5.0, 6.0, 7.0, 9.0, 10.0]","209.0,1,17.434388860053268;1667.0,2,2.08468993835748;209.0,3,21.693369580883168;2090.0,5,24.1074021999066;1667.0,8,2.0821811939031614;2090.0,9,20.830125097312852"
3959.0,21.0,10,[],"304.0,1,2.2070936639019205"
3960.0,49.0,10,[],"377.0,1,1.4443902701486342"
3961.0,20.0,10,[],"460.0,1,2.695295399347548"
3962.0,22.0,6,"[6.0, 7.0, 8.0, 10.0]","458.0,1,2.548507789374008"
3963.0,29.0,10,[],"466.0,1,1.924450466374474"
3964.0,10.0,9,[10.0],"518.0,1,2.245080543237812"
3965.0,52.0,9,[10.0],"457.0,1,1.805128424580696;449.0,10,12.16227274412558"
3966.0,89.0,10,[],"525.0,1,1.7857720160479449"
3967.0,57.0,10,[],"554.0,1,1.7725888930671616"
3968.0,29.0,8,"[2.0, 10.0]","509.0,1,2.519019180893432;2789.0,10,16.58149552575174"
3969.0,68.0,10,[],"582.0,1,3.4320816773783096;555.0,2,3.439301123542422"
3970.0,52.0,9,[10.0],"559.0,1,1.7638790975290115"
3971.0,70.0,7,"[8.0, 9.0, 10.0]","602.0,1,2.642354898077846"
3972.0,20.0,9,[10.0],"682.0,1,1.7448225984609371"
3973.0,72.0,9,[8.0],"883.0,1,1.793131249546424"
3974.0,23.0,0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]","1115.0,1,38.36311575886919;1038.0,3,45.66914393925292;2188.0,5,14.788481013900654;2038.0,6,51.753883169841465;2188.0,7,14.863717458303451"
3975.0,16.0,0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]","993.0,1,22.9946266178536;1744.0,2,30.972534333614032;1155.0,3,40.56026405367204;1081.0,4,39.55664210682824;2188.0,5,21.885594423695707;2281.0,6,27.19031110667224;2188.0,7,21.39404271072385;2762.0,9,18.245441058522008"
3976.0,17.0,8,"[1.0, 9.0]","1081.0,1,4.473819290972306;2271.0,8,2.001154005168013;1081.0,9,4.100759575240306"
3977.0,16.0,2,"[1.0, 2.0, 3.0, 4.0, 7.0, 8.0, 9.0, 10.0]","993.0,1,10.322223222470084;1155.0,2,15.68729212757255;1081.0,4,14.645617569351506;2281.0,5,1.633302818578307;1081.0,7,15.29450262589798;1016.0,8,12.058601149391244;2811.0,9,13.232807133503432;2030.0,10,19.144446289786"
3978.0,48.0,0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]","1183.0,1,22.87570206961748;2104.0,5,24.17493290407667;1183.0,6,25.25263757940149;2104.0,9,24.60067742791842"
3979.0,48.0,0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]","1183.0,1,20.47451872640477;1777.0,4,21.134749120046347;1183.0,8,21.042869721530373;1777.0,9,20.88512654877869"
3980.0,19.0,8,"[9.0, 10.0]","1261.0,1,2.850150366805225;2150.0,5,2.3058019423402425;1332.0,9,19.332236936487693;1465.0,10,16.30924696803322"
3981.0,41.0,10,[],"1280.0,1,2.212619452910053"
3982.0,15.0,10,[],"1271.0,1,2.0437606657091583"
3983.0,39.0,10,[],"154.0,1,1.2678441253659465"
3984.0,14.0,0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]","728.0,1,16.10639571652517;726.0,3,18.51757304368573;673.0,10,19.960898750159032"
3985.0,84.0,8,"[6.0, 7.0]","138.0,1,2.198081777488049;100.0,6,5.905965978656573;138.0,8,3.3990985938310168"
3986.0,25.0,8,"[8.0, 9.0]","134.0,1,1.6663926092986017;97.0,6,1.7802823032845587"
3987.0,35.0,5,"[6.0, 7.0, 8.0, 9.0, 10.0]","220.0,1,2.481592213088985;193.0,5,2.433358853778282;220.0,6,7.555861982315208"
3988.0,41.0,0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]","1483.0,1,34.11855353207704;2492.0,7,31.138209771126817"
3989.0,9.0,7,"[5.0, 6.0, 10.0]","1022.0,1,1.8268107373507705;2530.0,7,2.503343440541066;1874.0,10,3.643449359604173"
3990.0,41.0,0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]","1213.0,1,31.195867513823057;1744.0,2,7.654253121428657;1213.0,3,30.8322762048296;2188.0,5,30.998543422852936;1213.0,6,30.56034102214992;2188.0,7,32.60634103238624;993.0,8,27.520102714179632;1744.0,10,17.1726459978595"
3991.0,26.0,10,[],"133.0,1,3.166172927907741;169.0,2,3.048467854147235;133.0,3,3.36842419530632;169.0,9,2.222803073840809"
3992.0,42.0,1,"[1.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]","424.0,1,12.442948798740456;1775.0,2,1.685942754493472;424.0,3,11.965020961216748;2183.0,9,11.838996567190954;444.0,10,14.325850926161218"
3993.0,60.0,9,[10.0],"568.0,1,2.548094503820496"
3994.0,39.0,0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]","801.0,1,21.81453210747497"
3995.0,42.0,6,"[2.0, 3.0, 4.0, 10.0]","921.0,1,2.9111142885328496;884.0,2,5.5445427904021685;1018.0,3,3.575490142973388;884.0,4,5.738662484664849;2096.0,5,1.317287517438776;982.0,8,2.900221838428898;1018.0,9,3.265779839257396;982.0,10,5.782328381294679"
3996.0,23.0,0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]","1115.0,1,47.244693627204335;1038.0,3,50.50661599141444;2188.0,5,12.414193991496216;2281.0,6,53.15221637888327;2188.0,7,12.758675611060784"
3997.0,22.0,3,"[1.0, 2.0, 3.0, 4.0, 6.0, 7.0, 10.0]","1121.0,1,3.842953691212;1817.0,5,3.262057808883855;1816.0,8,2.9497135794684075;1081.0,10,7.669273474691082"
3998.0,30.0,9,[5.0],"1284.0,1,1.922556557035426;1862.0,3,2.7690861625814365;1284.0,4,3.497337209263654;1219.0,5,4.127559141817374;1862.0,6,2.3863834168045908;1252.0,7,2.446061637203773;2307.0,8,3.1486382771763344"
3999.0,37.0,3,"[3.0, 4.0, 5.0, 7.0, 8.0, 9.0, 10.0]","144.0,1,3.3945461510524617;135.0,3,9.2039751464452;144.0,5,3.755958547751153;237.0,7,8.511916259147611;2649.0,8,5.654791181880534;2786.0,9,4.401904737663442"
4000.0,17.0,3,"[1.0, 2.0, 3.0, 4.0, 6.0, 8.0, 9.0]","877.0,1,12.486754323994676;1810.0,2,11.594984569157498;1093.0,3,19.914674231947643;877.0,4,15.434931236027651;793.0,5,2.837056374237231;877.0,6,15.696070850875902;835.0,7,1.9554292702370912;1093.0,8,10.542710236234283;877.0,9,13.0866150290172;835.0,10,1.6045112525002525"
