ID (CME),ID (Dino),Track Length (CME),Track Length (Dino),Match,Identical Match
[1040.0],[642.0 3251.0 7422.0 7916.0],[30.0],[1.0 5.0 27.0 29.0],False,False
[1041.0],[989.0 1068.0 2207.0],[30.0],[1.0 5.0 27.0],False,False
[1042.0],[538.0 4786.0],[30.0],[37.0 47.0],False,False
[1043.0],[657.0 1709.0 2174.0 3230.0 4481.0 5532.0],[30.0],[3.0 6.0 12.0 59.0 99.0],False,False
[1044.0],"[831.0 1121.0 1982.0 2166.0 2804.0 2823.0 3017.0 4253.0 4254.0 6737.0
 6950.0 7167.0 7912.0 8156.0]",[30.0],[1.0 2.0 3.0 4.0 5.0 7.0 9.0 12.0 21.0 27.0],False,False
[1045.0],[374.0 4775.0],[30.0],[15.0 19.0],False,False
[1046.0],[359.0 1937.0],[30.0],[16.0 28.0],True,False
[1047.0],[873.0 1998.0 3279.0 3283.0 3856.0 3858.0 7165.0 7645.0],[30.0],[1.0 2.0 4.0 5.0 6.0 10.0 16.0 26.0],False,False
[1048.0],[721.0 2356.0 2563.0 2580.0 4522.0],[30.0],[3.0 9.0 21.0 33.0],False,False
[1049.0],[1745.0 4263.0 4502.0 7125.0],[30.0],[1.0 12.0 17.0 22.0],False,False
[1050.0],"[1119.0 1137.0 1898.0 2233.0 2396.0 3101.0 3152.0 4336.0 4552.0 5357.0
 5628.0 6554.0 6752.0 6777.0 7712.0]",[30.0],[2.0 3.0 4.0 6.0 10.0 11.0 12.0 15.0 16.0 23.0 26.0 29.0 31.0],False,False
[1051.0],"[864.0 1153.0 1334.0 2622.0 3059.0 3484.0 4050.0 4534.0 4872.0 5109.0
 5596.0 8911.0]",[30.0],[1.0 3.0 5.0 9.0 12.0 13.0 14.0 31.0],False,False
[1052.0],[688.0 696.0],[30.0],[5.0 33.0],True,False
[1053.0],[2385.0 2399.0 4110.0],[30.0],[1.0 4.0 32.0],True,False
[1054.0],[1995.0 3272.0 9303.0],[30.0],[5.0 9.0 36.0],False,False
[1055.0],[3418.0 3613.0 4462.0 8143.0],[30.0],[5.0 8.0 12.0 51.0],False,False
[1056.0],[4872.0 5109.0 9472.0],[30.0],[13.0 29.0 31.0],False,False
[1057.0],[1155.0 1274.0 4566.0 4878.0 5128.0 5374.0 5375.0 6553.0 6558.0 9419.0],[30.0],[1.0 3.0 5.0 6.0 16.0 17.0 18.0 19.0 26.0 37.0],False,False
[1058.0],[2172.0 5283.0 5529.0],[30.0],[11.0 14.0 27.0],False,False
[1059.0],[1192.0 4843.0 5593.0 6734.0 7476.0 11131.0],[30.0],[2.0 4.0 6.0 17.0 43.0],False,False
[1060.0],[193.0 3983.0 3986.0 7072.0 7073.0],[30.0],[5.0 6.0 21.0 28.0 32.0],False,False
[1061.0],[4481.0 5779.0],[30.0],[28.0 59.0],False,False
[1062.0],[2986.0 3623.0 6911.0 7912.0 8153.0 8869.0 9861.0 9871.0 13327.0],[30.0],[6.0 9.0 10.0 12.0 29.0 61.0 72.0 73.0],False,False
[1063.0],[5495.0 6225.0 9829.0 13257.0],[30.0],[13.0 18.0 23.0 30.0],False,False
[1064.0],[700.0 9283.0],[30.0],[27.0 80.0],False,False
[1065.0],[5518.0 9233.0 9829.0 10088.0 11517.0 12240.0 13257.0],[30.0],[1.0 3.0 5.0 14.0 18.0 20.0 30.0],False,False
[1066.0],[2578.0 9401.0 10148.0],[30.0],[28.0 38.0 53.0],False,False
[1067.0],[3203.0],[30.0],[83.0],False,False
[1068.0],[6719.0 14946.0 17282.0 19871.0],[30.0],[5.0 11.0 19.0 26.0],True,False
[1069.0],[7176.0 12010.0 12707.0 16159.0 16951.0 20282.0],[30.0],[13.0 14.0 17.0 19.0 32.0],False,False
