ID (GT),Track Length (GT),Track Coverage,Missing Time Points,Dino Data
868,4.0,4,[],"2674,1,12.0"
869,9.0,9,[],"603,1,23.0"
870,20.0,20,[],"2418,1,10.0;2389,3,18.0;342,4,20.0;3190,12,21.0;2665,13,18.0"
871,18.0,18,[],"1684,1,40.0;3627,9,15.0;1684,13,40.0;3627,14,15.0"
872,14.0,14,[],"784,1,28.0"
873,47.0,47,[],"773,1,32.0;1913,12,14.0;1170,13,56.0;4808,38,15.0;6528,46,5.0;7353,47,16.0"
874,73.0,73,[],"1872,1,52.0;6706,49,22.0;1872,52,52.0;8064,53,5.0;7855,54,20.0;4071,55,37.0"
875,23.0,23,[],"2526,1,33.0;5467,21,29.0"
876,10.0,10,[],"2828,1,12.0"
877,47.0,47,[],"178,1,71.0;2800,6,8.0;173,7,25.0;3856,9,42.0;1333,20,33.0;5080,21,7.0;4049,22,6.0;3856,23,42.0"
878,9.0,9,[],"1992,1,15.0;2563,2,15.0;1628,8,20.0"
879,24.0,24,[],"569,1,38.0;311,6,44.0;2673,23,20.0;4651,24,26.0"
880,16.0,13,"[16.0, 19.0, 20.0]","2686,1,10.0;1709,3,17.0;3249,4,17.0;3101,5,18.0;3545,6,17.0"
881,18.0,18,[],"3031,1,6.0;2220,5,24.0"
882,16.0,16,[],"162,1,65.0;1737,6,18.0;3524,8,13.0;162,9,65.0"
883,6.0,6,[],"167,1,19.0;3181,3,26.0;1777,4,27.0;3498,5,9.0"
884,12.0,12,[],"1647,1,20.0;2960,4,4.0;3491,5,27.0;3390,6,11.0;38,7,52.0;608,8,29.0"
885,23.0,23,[],"4437,1,27.0"
886,7.0,7,[],"2734,1,7.0;3184,2,12.0;3227,5,4.0;3584,6,37.0"
887,51.0,50,[17.0],"218,1,40.0;747,2,27.0;218,3,40.0;200,20,59.0;782,51,44.0"
888,7.0,5,"[16.0, 17.0]","194,1,28.0;2118,3,10.0;1378,6,41.0"
889,15.0,15,[],"2713,1,9.0;3346,5,25.0;2101,15,22.0"
890,13.0,13,[],"233,1,31.0"
891,14.0,13,[17.0],"1289,1,12.0;1006,2,19.0;3241,3,19.0;1289,5,12.0;547,6,31.0;3016,7,36.0"
892,25.0,25,[],"1994,1,40.0;2909,6,11.0;2763,7,8.0;1994,10,40.0;1160,25,20.0"
893,35.0,35,[],"2477,1,16.0;1825,8,10.0;1723,9,26.0;2478,10,7.0;3829,11,7.0;4082,12,9.0;409,13,22.0;4096,14,35.0"
894,9.0,9,[],"404,1,73.0;335,2,31.0;1202,3,7.0;3194,4,31.0"
895,14.0,13,[27.0],"1114,1,21.0;1125,2,16.0;153,3,16.0;719,4,21.0;3487,5,69.0;3586,6,4.0;3647,7,11.0;3008,8,25.0;2249,9,8.0;2338,10,7.0;3991,11,8.0;3483,12,43.0;2346,13,13.0"
896,10.0,10,[],"2806,1,16.0;195,6,18.0;2806,8,16.0"
897,23.0,23,[],"2987,1,26.0;1346,10,32.0;5455,11,8.0;5729,12,22.0;1346,13,32.0;5729,14,22.0;5818,21,8.0"
898,9.0,9,[],"2794,1,16.0;1827,9,12.0"
899,4.0,4,[],"2167,1,8.0"
900,22.0,22,[],"5563,1,20.0;5452,6,42.0;5563,7,20.0;7169,8,4.0;5563,9,20.0;4539,15,24.0;5563,16,20.0;7421,17,31.0;8648,18,5.0"
901,19.0,19,[],"267,1,33.0"
902,21.0,21,[],"1148,1,14.0;2691,2,31.0"
903,17.0,17,[],"2766,1,23.0"
904,22.0,22,[],"5028,1,9.0;6706,2,22.0;5028,7,9.0;7282,8,11.0;3889,18,31.0"
905,27.0,27,[],"3712,1,32.0;4236,15,32.0;6016,22,15.0"
906,26.0,26,[],"6620,1,5.0;5183,6,34.0;4855,7,41.0;4743,13,27.0;972,14,56.0;6535,15,8.0;6913,16,17.0;6466,17,17.0;6579,20,18.0;1077,21,63.0;3501,25,35.0"
907,9.0,9,[],"3069,1,13.0"
908,21.0,21,[],"3153,1,60.0;3025,19,17.0"
909,35.0,35,[],"3182,1,52.0;6051,21,18.0;6565,24,34.0"
910,5.0,5,[],"2322,1,15.0;1064,2,12.0;1054,3,14.0"
911,10.0,10,[],"2668,1,15.0"
912,12.0,12,[],"1591,1,29.0"
913,31.0,31,[],"2375,1,21.0;2586,15,14.0;3535,18,7.0;4827,19,26.0;5051,20,4.0;4021,21,23.0"
914,23.0,23,[],"5381,1,27.0"
915,5.0,5,[],"2311,1,9.0"
916,33.0,33,[],"2243,1,28.0;3567,7,74.0;1324,28,35.0"
917,21.0,21,[],"4233,1,10.0;4188,2,19.0;6343,11,23.0;5739,12,22.0;6343,13,23.0"
918,12.0,12,[],"2689,1,17.0"
919,7.0,7,[],"659,1,21.0"
920,12.0,12,[],"1609,1,13.0;532,7,26.0;3947,8,33.0"
921,19.0,19,[],"267,1,33.0;1260,4,27.0;3054,13,15.0"
922,26.0,25,[20.0],"3227,1,4.0;3184,2,12.0;3227,3,4.0;3584,6,37.0;3500,21,49.0"
923,50.0,50,[],"1916,1,26.0;757,4,42.0;4566,15,20.0;4685,30,33.0"
924,9.0,9,[],"2161,1,20.0"
925,6.0,6,[],"786,1,13.0"
926,16.0,15,[32.0],"1483,1,13.0;3130,7,11.0;3925,8,13.0;22,13,37.0;2358,14,45.0;3996,15,13.0"
927,4.0,4,[],"969,1,29.0"
928,26.0,26,[],"2353,1,5.0;414,2,42.0;2749,23,16.0"
929,4.0,4,[],"2368,1,8.0"
930,38.0,38,[],"2513,1,9.0;3314,4,18.0;2956,5,23.0;1012,7,26.0;3100,14,35.0;3314,15,18.0;4508,16,19.0;3314,17,18.0;3797,19,10.0;3921,22,44.0;5796,35,9.0;6647,36,19.0"
931,20.0,20,[],"3045,1,23.0;3596,19,9.0"
932,10.0,10,[],"2405,1,13.0;2714,5,29.0;1338,7,19.0;2322,8,15.0;1338,10,19.0"
933,13.0,13,[],"3252,1,61.0"
934,16.0,16,[],"3254,1,22.0"
935,11.0,11,[],"2325,1,16.0;3543,11,11.0"
936,8.0,8,[],"345,1,15.0"
937,9.0,9,[],"1205,1,16.0;298,7,40.0"
938,5.0,5,[],"1148,1,14.0;3342,2,6.0;1148,3,14.0;3342,4,6.0"
939,38.0,34,"[19.0, 21.0, 24.0, 26.0]","2673,1,20.0;1831,3,35.0;2673,6,20.0;1831,8,35.0;2975,10,58.0;4793,20,4.0;4306,21,5.0;3193,22,11.0;2673,23,20.0;5582,24,16.0"
940,82.0,81,[94.0],"2650,1,7.0;446,3,40.0;2041,7,22.0;2833,9,23.0;446,14,40.0;1654,28,23.0;4900,29,37.0;5626,30,34.0;4046,31,43.0;5626,32,34.0;6035,35,16.0;2344,36,49.0;4046,50,43.0;7912,55,25.0;2239,76,71.0;9821,77,14.0;10332,78,8.0;7912,81,25.0"
941,4.0,4,[],"2601,1,6.0"
942,19.0,19,[],"534,1,18.0;1696,4,23.0;537,6,60.0"
943,11.0,11,[],"1527,1,22.0"
944,31.0,31,[],"2639,1,7.0;1641,2,7.0;2782,3,12.0;2639,6,7.0;2782,7,12.0;1287,9,19.0;3242,10,26.0"
945,16.0,16,[],"2754,1,9.0;2833,2,23.0"
946,24.0,24,[],"2208,1,7.0;724,2,14.0;2572,3,55.0"
947,20.0,20,[],"351,1,21.0;2586,5,14.0;2418,6,10.0;2912,11,16.0"
948,10.0,10,[],"2525,1,16.0;2852,8,11.0"
949,14.0,14,[],"3253,1,6.0;2885,2,12.0;3241,3,19.0;1289,4,12.0;547,5,31.0"
950,35.0,31,"[19.0, 38.0, 39.0, 42.0]","2613,1,6.0;2615,2,42.0;1282,3,18.0;3476,4,13.0;2614,5,13.0;3732,6,33.0;2614,10,13.0;3731,11,22.0;1504,20,44.0;3731,21,22.0;1504,23,44.0;3731,25,22.0;1504,26,44.0"
951,27.0,27,[],"3334,1,10.0;1312,8,25.0;2199,9,17.0;994,12,44.0;1723,24,26.0"
952,12.0,12,[],"2788,1,40.0;3827,11,8.0;2788,12,40.0"
953,37.0,37,[],"2344,1,49.0;397,8,57.0"
954,56.0,56,[],"1743,1,75.0"
955,7.0,7,[],"2494,1,17.0"
956,7.0,7,[],"2182,1,12.0"
957,43.0,43,[],"1787,1,21.0;179,8,48.0;3012,19,55.0;2776,30,16.0;6104,31,5.0;5578,33,18.0;6104,35,5.0;1909,36,47.0"
958,11.0,11,[],"564,1,68.0"
959,18.0,18,[],"3318,1,10.0;3737,3,28.0;4237,10,18.0;4151,11,26.0"
960,5.0,5,[],"867,1,47.0"
961,7.0,7,[],"3164,1,17.0"
962,10.0,7,"[25.0, 27.0, 28.0]","504,1,17.0;2235,3,9.0;504,5,17.0;1699,6,12.0;423,8,17.0;3610,9,19.0;377,10,24.0"
963,25.0,25,[],"2985,1,20.0;4272,13,25.0;2985,14,20.0;3593,18,50.0;5004,19,13.0;5227,20,8.0"
964,18.0,18,[],"3298,1,28.0;4922,17,13.0"
965,27.0,27,[],"835,1,57.0;3384,12,30.0;835,14,57.0;3384,17,30.0;4149,18,26.0;2367,20,26.0;307,21,32.0;5061,22,5.0;5624,23,8.0"
966,28.0,26,"[24.0, 28.0]","2239,1,71.0;2453,6,28.0;781,7,61.0"
967,12.0,12,[],"3073,1,22.0"
968,7.0,6,[33.0],"3269,1,7.0;1012,2,26.0;4619,3,11.0;2467,4,18.0;1301,7,51.0"
969,38.0,38,[],"3359,1,46.0"
970,26.0,26,[],"3732,1,33.0"
971,17.0,17,[],"2916,1,14.0;2114,8,14.0"
972,25.0,25,[],"2992,1,4.0;3223,2,6.0;583,3,24.0;3643,4,8.0;216,5,32.0;3109,6,4.0;1369,7,21.0;2379,10,54.0;3724,11,17.0;3222,14,27.0"
973,18.0,18,[],"2042,1,7.0;1432,2,43.0"
974,29.0,29,[],"1096,1,38.0;3043,5,44.0"
975,5.0,5,[],"1291,1,19.0;2968,3,9.0;2203,5,15.0"
976,30.0,30,[],"3184,1,12.0;751,8,66.0"
977,27.0,27,[],"3412,1,27.0"
978,26.0,26,[],"2983,1,9.0;3027,6,7.0;3830,7,16.0;4767,18,46.0"
979,11.0,11,[],"3268,1,12.0"
980,20.0,20,[],"1004,1,33.0"
981,22.0,22,[],"2075,1,28.0;3964,10,15.0;2075,11,28.0;1567,21,17.0"
982,29.0,29,[],"3503,1,32.0;3239,6,13.0;3060,7,18.0;3504,12,8.0;3678,13,6.0;3835,14,36.0"
983,36.0,36,[],"3301,1,36.0;74,3,33.0;30,14,27.0;412,21,67.0;4240,29,22.0;412,31,67.0"
984,28.0,28,[],"3291,1,4.0;1418,3,47.0;3110,15,13.0;5077,19,12.0"
985,4.0,4,[],"3077,1,16.0;3276,3,5.0;3441,4,29.0"
986,5.0,4,[22.0],"474,1,16.0;2525,3,16.0;474,4,16.0"
987,32.0,32,[],"2756,1,21.0;4449,12,13.0;2919,20,37.0"
988,16.0,15,[20.0],"1155,1,56.0"
989,17.0,17,[],"3383,1,39.0"
990,21.0,20,[21.0],"2220,1,24.0;2620,3,33.0;2935,4,5.0;1863,5,19.0;1346,6,32.0;2935,9,5.0;4298,10,16.0"
991,15.0,15,[],"3361,1,46.0;2075,10,28.0;3788,12,27.0"
992,25.0,25,[],"2577,1,20.0;336,13,29.0;5459,23,8.0"
