ID (GT),ID (Dino),Track Length (GT),Track Length (Dino),Match,Identical Match
[147],[200 1749],[71.0],[59.0 68.0],True,False
[148],[263],[5.0],[5.0],True,True
[149],[532],[6.0],[26.0],True,False
[150],[499],[7.0],[11.0],True,False
[151],[666],[6.0],[6.0],True,True
[152],[529 1155 1365 3329],[30.0],[17.0 18.0 21.0 56.0],True,False
[153],[402],[5.0],[11.0],True,False
[154],[883],[4.0],[14.0],True,False
[155],[210],[12.0],[13.0],True,False
[156],[582 757 1916 2371 3410 3648 3651],[33.0],[4.0 6.0 12.0 21.0 26.0 42.0],False,False
[157],[417],[4.0],[5.0],True,False
[158],[793 800 1378],[12.0],[10.0 15.0 41.0],True,False
[159],[575],[10.0],[54.0],True,False
[160],[547 1006],[19.0],[19.0 31.0],True,False
[161],[700],[10.0],[14.0],True,False
[162],[430],[6.0],[11.0],True,False
[163],[645 651 1350 1351 1742 1743],[15.0],[4.0 5.0 13.0 21.0 26.0 75.0],False,False
[164],[578],[5.0],[6.0],True,False
[165],[542],[4.0],[17.0],True,False
[166],[1183 1631],[29.0],[15.0 32.0],True,False
[167],[24 429 1006 1289],[24.0],[12.0 19.0 21.0],True,False
[168],[561 1675],[11.0],[17.0 30.0],True,False
[169],[240 415 583 1675 3109 3724],[43.0],[4.0 17.0 21.0 24.0 32.0],True,False
[170],[809],[6.0],[7.0],True,False
[171],[418 791 1370 1746 2029],[13.0],[5.0 7.0 16.0 19.0],False,False
[172],[791],[19.0],[19.0],True,True
[173],[872],[4.0],[13.0],True,False
[174],[4253],[7.0],[35.0],True,False
[175],[69 463 577 2119],[19.0],[6.0 17.0 26.0 30.0],True,False
[176],[307 311 842],[5.0],[11.0 32.0 44.0],True,False
[177],[472 1537],[10.0],[7.0 11.0],True,False
[178],[189 211 580 756 1433 1916 2245 2459 2753],[31.0],[5.0 9.0 11.0 17.0 18.0 26.0 36.0 39.0],True,False
[179],[453 788 789 1416 2239],[43.0],[6.0 10.0 19.0 41.0 71.0],True,False
[180],[535],[15.0],[35.0],True,False
[181],[192 195 482 754 3689],[31.0],[6.0 14.0 18.0 22.0 27.0],True,False
[182],[970 984 1286 2613 2615],[11.0],[6.0 7.0 9.0 26.0 42.0],True,False
