ID (GT),ID (Dino),x (GT),y (GT),z (GT),x (Dino),y (Dino),z (Dino),t,t_start (GT),t_start (Dino),FI (GT),FI (Dino),Track Length (GT),Track Length (Dino),Feature 0,Feature 1,Feature 2,Distance,Multi ID (Dino),Multi Distance (Dino)
3,943,478.182,154.0,0.182,478.74197,153.56848,0.75288117,7.0,1.0,1.0,1.0,2.223,9.0,14.0,1.177,3.033,-0.2864,0.9086700289767096,943,0.91
3,943,472.636,150.0,-0.182,472.56757,149.85771,0.56345946,8.0,1.0,1.0,1.0,1.916,9.0,14.0,0.334,2.18,-0.143,0.7619966637089017,943,0.76
3,943,467.455,147.455,-0.545,467.6577,147.72958,0.60347366,9.0,1.0,1.0,1.0,2.336,9.0,14.0,2.5,3.72,-0.4883,1.198112354545176,943,1.20
4,247,301.273,347.091,2.455,301.19284,347.08597,2.0806625,0.0,0.0,0.0,1.0,4.086,11.0,11.0,8.445,1.85,-0.622,0.38285701039194264,247,0.38
4,247,293.727,349.182,2.0,294.20102,349.32135,1.6599851,1.0,0.0,0.0,1.0,3.223,11.0,11.0,5.613,1.586,0.0635,0.5997695516796882,247,0.60
4,247,285.364,351.727,1.545,285.1139,351.36295,1.4279532,2.0,0.0,0.0,1.0,3.117,11.0,11.0,4.61,0.841,-0.7666,0.45692709034396367,247,0.46
4,247,277.636,354.091,1.0,277.79858,354.07486,1.1799634,3.0,0.0,0.0,1.0,2.795,11.0,11.0,5.3,3.209,-0.0666,0.24306291642197797,247,0.24
4,247,270.727,357.364,0.727,270.3542,357.25253,1.0105838,4.0,0.0,0.0,1.0,3.348,11.0,11.0,3.883,2.898,-0.004593,0.48148226605185296,247,0.48
4,247,262.364,358.273,0.273,262.27814,358.58887,0.65872574,5.0,0.0,0.0,1.0,2.074,11.0,11.0,5.97,3.334,0.74,0.5058953874058525,247,0.51
4,808,262.909,359.182,0.0,263.13348,359.07083,0.61305004,6.0,0.0,0.0,1.0,1.52,11.0,7.0,6.586,2.684,-0.2583,0.6622540228975718,808,0.66
4,488,262.818,359.909,-0.091,262.97192,359.94684,0.60098624,7.0,0.0,0.0,1.0,2.479,11.0,22.0,3.781,2.295,-0.404,0.7099071688251553,488,0.71
4,488,262.364,359.818,-0.091,262.26602,360.14532,0.6924179,8.0,0.0,0.0,1.0,2.428,11.0,22.0,6.285,3.896,0.3728,0.8546824374236482,488,0.85
4,808,256.909,361.818,-0.091,256.76105,361.85068,0.90307313,9.0,0.0,0.0,1.0,2.223,11.0,7.0,3.844,2.064,-0.1827,1.0055538636433121,808,1.01
4,808,251.455,365.091,-0.364,251.57451,364.85837,0.37425354,10.0,0.0,0.0,1.0,2.303,11.0,7.0,2.629,4.01,-0.294,0.7832098354352701,808,0.78
5,790,461.455,331.455,7.455,461.69525,331.21832,5.7223706,0.0,0.0,0.0,1.0,3.477,34.0,27.0,6.188,-1.333,-0.1395,1.7651464875880283,790,1.77
5,790,460.182,335.818,7.364,460.20438,335.66467,5.941338,1.0,0.0,0.0,1.0,4.418,34.0,27.0,8.766,-1.859,-0.4175,1.4310758608627268,790,1.43
5,790,458.727,340.909,7.0,456.97006,341.36276,6.1623726,2.0,0.0,0.0,1.0,4.246,34.0,27.0,8.414,-2.48,0.3633,1.998588492519333,790,2.00
5,1148,459.091,341.182,6.818,459.34424,341.33243,5.2525744,3.0,0.0,1.0,1.0,4.434,34.0,14.0,11.375,-2.164,0.844,1.592895788065042,1148,1.59
5,1148,458.455,340.909,6.727,458.5327,340.7695,5.0753126,4.0,0.0,1.0,1.0,3.885,34.0,14.0,12.79,-1.672,0.04956,1.6593880821913718,1148,1.66
5,1148,458.273,340.727,6.727,458.46027,340.97424,5.078455,5.0,0.0,1.0,1.0,3.125,34.0,14.0,9.91,-0.6562,0.1952,1.6774678201160824,1148,1.68
