ID (Dino),Missing Time Points,ID (CME),x (Dino),y (Dino),z (Dino),x (CME),y (CME),z (CME),t,t_start (Dino),t_start (Dino).1,FI (Dino),FI (CME),Track Length (Dino),Track Length (CME),Distance,Multi ID (CME),Multi Distance (CME)
3.0,26,152.0,260.12256,181.92064,4.079162,285.71,179.28,16.439999999999998,26.0,1.0,1.0,297.8,276.11,75.0,61.0,28.539102673795504,,
3.0,27,152.0,259.31342,182.05133,4.1092715,285.95,179.63,16.900000000000006,27.0,1.0,1.0,281.0,310.14,75.0,61.0,29.64747828443444,,
3.0,28,152.0,259.94028,181.29942,4.5544543,285.74,180.05,17.03,28.0,1.0,1.0,275.2,321.33,75.0,61.0,28.684941048006188,,
3.0,30,152.0,258.5835,180.85861,4.5951176,285.3,179.52,16.379999999999995,30.0,1.0,1.0,255.0,328.2,75.0,61.0,29.230920309903507,,
3.0,31,152.0,258.6603,180.76288,4.3773284,286.22,179.38,16.830000000000013,31.0,1.0,1.0,258.2,387.22,75.0,61.0,30.274055743521515,,
3.0,32,152.0,260.08563,181.51881,4.4799542,286.14,179.44,16.819999999999993,32.0,1.0,1.0,283.2,414.76,75.0,61.0,28.90377790980096,,
3.0,33,152.0,259.41333,180.8392,4.3830886,286.2,179.51,16.379999999999995,33.0,1.0,1.0,268.0,419.89,75.0,61.0,29.38057769119509,,
3.0,34,152.0,259.33054,181.05765,4.217908,286.13,179.47,15.930000000000009,34.0,1.0,1.0,275.5,386.79,75.0,61.0,29.29001174172801,,
3.0,35,152.0,258.7721,180.34706,4.411681,286.03,178.95,15.599999999999994,35.0,1.0,1.0,262.8,347.35,75.0,61.0,29.497853669366492,,
3.0,36,152.0,259.05896,180.45105,4.3859096,285.38,179.19,14.77000000000001,36.0,1.0,1.0,257.0,359.68,75.0,61.0,28.323430710623168,,
3.0,37,152.0,258.43997,180.43503,4.6396585,285.23,179.74,15.139999999999986,37.0,1.0,1.0,258.5,341.44,75.0,61.0,28.782736939325662,,
3.0,38,152.0,258.64874,180.80833,4.1008554,285.69,179.51,14.639999999999986,38.0,1.0,1.0,254.1,342.98,75.0,61.0,29.051488293652188,,
3.0,39,152.0,258.33505,180.14111,4.219001,285.38,179.42,14.639999999999986,39.0,1.0,1.0,261.0,281.88,75.0,61.0,28.992180675013035,,
3.0,40,152.0,258.534,180.4067,4.315989,285.3,179.81,13.47999999999999,40.0,1.0,1.0,263.2,237.46,75.0,61.0,28.29759538367389,,
3.0,41,152.0,258.28058,180.45781,4.114208,285.04,180.1,13.569999999999991,41.0,1.0,1.0,259.5,213.79,75.0,61.0,28.383209633157517,,
3.0,42,152.0,257.89966,180.75317,4.0937676,285.98,181.41,14.139999999999986,42.0,1.0,1.0,258.8,227.93,75.0,61.0,29.830583393546153,,
3.0,43,152.0,257.6541,180.87332,4.229391,286.2,181.24,13.789999999999992,43.0,1.0,1.0,256.8,206.9,75.0,61.0,30.10661232160269,,
