ID (Dino),Track Length (Dino),Track Coverage,Missing Time Points,CME Data
3409.0,10.0,3,"[14.0, 15.0, 16.0, 21.0, 22.0, 29.0, 38.0, 39.0, 40.0, 49.0, 58.0, 61.0, 62.0, 63.0, 64.0, 71.0, 72.0, 73.0, 74.0, 75.0, 76.0, 77.0, 79.0, 87.0]","4035.0,1,8.824638225570505;9755.0,4,8.73237320032189;2046.0,5,13.213843777867952;9867.0,6,9.553290377388048;878.0,7,12.663278979873258;6254.0,12,5.344790380173943;1532.0,18,12.686204065369594;5103.0,19,21.918537709984182;846.0,20,19.138678502887817;3586.0,21,12.217487581597924;1749.0,25,13.54273217856078;3612.0,27,5.3343005441669815"
3410.0,10.0,2,"[14.0, 17.0, 19.0, 20.0, 22.0, 23.0, 24.0, 25.0, 33.0, 42.0, 43.0, 45.0, 47.0, 48.0, 55.0, 58.0, 61.0, 62.0, 63.0, 64.0, 65.0]","4035.0,1,3.635798449268069;6711.0,2,4.871332419502917;2046.0,3,4.96251616751019;9755.0,5,2.9671280399740074;2046.0,6,8.90601090975078;599.0,10,2.32557370784072;5523.0,11,9.033039722513124;599.0,12,13.357720922575089;8871.0,13,12.197335450703978;599.0,15,15.976540837549871;1946.0,17,20.932396960763946;6254.0,18,21.591763367057325;7918.0,19,16.744864126379188;6254.0,20,19.7596523175384;4185.0,22,23.66152352235589;1525.0,23,24.609162161556817"
3411.0,28.0,3,"[14.0, 15.0, 51.0, 52.0, 53.0, 54.0, 55.0, 57.0, 58.0, 59.0, 60.0, 65.0, 69.0, 75.0, 76.0]","1173.0,1,21.139553532052187;1100.0,2,19.86602026845587;3019.0,3,4.334256370659259;3029.0,13,5.703877819106908;3561.0,14,4.846798018524837;1460.0,15,4.395047150409783"
3412.0,17.0,0,"[14.0, 16.0, 18.0, 19.0, 20.0, 22.0, 23.0, 59.0, 60.0, 61.0, 62.0]","2329.0,1,10.067593599371204;1903.0,3,12.241067388173366;3739.0,5,11.970013281504697;2532.0,6,6.021596841255009;3029.0,8,11.061859613100156"
3413.0,16.0,2,"[14.0, 23.0, 55.0, 56.0, 59.0, 60.0, 61.0, 62.0, 63.0, 65.0, 69.0, 85.0, 99.0]","2517.0,1,20.11827169681584;6065.0,2,16.906218277740287;4927.0,3,0.997334778296617;2566.0,4,4.966488830129385;4189.0,10,12.977371898566352;1538.0,12,15.261422159883978;1558.0,13,11.744550201595649;1306.0,15,4.158824548366937"
3414.0,6.0,3,"[14.0, 15.0, 20.0, 26.0, 28.0, 38.0, 42.0, 57.0, 64.0, 65.0, 66.0, 69.0, 70.0, 71.0, 74.0]","6001.0,1,5.342201400396671;1803.0,3,1.013272626937068;4110.0,9,13.138070862881618;221.0,11,7.575948319682477;1004.0,12,9.122361812469414;7995.0,15,7.63118694292705;4234.0,16,19.03915027030877"
3415.0,54.0,2,"[14.0, 15.0, 16.0, 24.0, 27.0, 28.0, 29.0, 32.0, 33.0, 34.0, 35.0, 51.0, 52.0, 54.0, 55.0, 71.0, 72.0, 75.0, 79.0, 80.0]","309.0,1,13.507647032558996;5382.0,2,12.780470793695343;3737.0,3,4.470418264916607;2735.0,5,7.153564687314988;1796.0,6,8.875672032291376;8715.0,7,4.605823902756166;5507.0,9,7.199374526061223;946.0,13,5.502974502303283;5117.0,18,7.340145592602374;335.0,20,9.454992288390644"
3416.0,6.0,17,"[23.0, 25.0, 39.0, 40.0, 41.0, 71.0, 72.0]","6001.0,1,1.6227314971984803;1803.0,3,2.709154594665987;1345.0,13,9.3167152302139;3275.0,16,3.17862232539505;802.0,24,16.013992065319822"
3417.0,45.0,0,"[14.0, 15.0]","458.0,1,11.75026442051226"
3418.0,7.0,0,"[14.0, 63.0, 67.0, 68.0, 69.0, 70.0, 72.0, 94.0]","5382.0,1,7.7651830126532575;1004.0,2,19.30118344570876;802.0,3,11.307044645728617;2273.0,8,9.113211024863832"
