z,y,x,idx
44.27634,98.01867,341.6639,400
43.849926,206.8522,373.74997,401
44.278877,240.27626,328.7782,402
44.002464,337.01312,326.19907,403
44.174393,361.64172,440.61172,404
44.245193,404.68585,323.51114,405
43.795128,541.60706,319.37494,406
44.33335,585.8571,320.32748,407
44.39662,143.37967,327.32455,408
44.440083,164.56148,328.77267,409
45.405838,311.0901,426.88184,410
45.295906,368.0988,328.10822,411
44.837414,386.64407,448.26288,412
44.72623,484.85748,320.6081,413
45.31076,625.4024,390.90274,414
45.094357,655.0792,318.57495,415
46.296665,43.37942,345.40866,416
45.736607,224.99931,329.53427,417
46.11692,323.57816,358.9581,418
47.04965,385.66238,349.45093,419
45.917408,434.45523,326.6478,420
45.60904,560.9204,322.43204,421
46.277874,573.3838,435.81372,422
45.633064,203.18767,331.86813,423
47.07753,330.29962,433.2346,424
46.333065,348.67865,438.4728,425
46.517773,529.6272,322.27722,426
47.147972,578.9266,323.80807,427
47.68542,682.8801,356.2755,428
48.141193,317.47318,433.20346,429
48.11789,343.6867,344.99295,430
48.23935,350.37653,375.77374,431
48.0332,402.99844,332.28387,432
47.300095,683.68756,321.2959,433
49.310562,212.49277,386.83362,434
49.8574,279.49625,338.52316,435
49.118916,345.27515,333.68567,436
49.586643,360.01312,335.21854,437
49.598278,486.73767,330.4663,438
48.9696,619.26715,398.2711,439
49.64655,155.24843,363.04318,440
50.383465,211.02182,339.72433,441
49.425644,381.43597,379.41165,442
49.67056,426.98102,332.66098,443
50.285805,557.2644,333.50082,444
50.999767,98.99955,341.93744,445
51.443993,117.816505,335.1757,446
50.999153,140.99767,338.99442,447
51.166378,240.15073,342.4301,448
50.304466,318.4106,336.56274,449
50.43617,461.34592,331.66318,450
50.90208,586.4486,329.80435,451
51.342983,700.68475,351.39624,452
50.757908,702.91125,328.24014,453
52.23861,196.4599,343.1259,454
51.939697,430.66837,462.0639,455
51.6429,442.9533,334.53793,456
53.46111,220.77827,343.4459,457
52.999767,285.6498,384.6648,458
52.463634,295.46155,342.1122,459
51.50554,328.58517,337.67877,460
52.872353,392.02966,454.1804,461
54.21029,643.80084,387.46133,462
53.241585,695.3645,327.8928,463
54.147774,283.11935,354.0907,464
53.565487,337.63852,338.76532,465
55.589233,421.23517,462.68106,466
53.78628,544.95264,338.40985,467
53.47962,636.45856,331.96252,468
54.947807,134.57307,348.3528,469
54.636448,150.65408,349.73123,470
53.69056,167.63187,345.53976,471
54.48008,175.9987,344.99747,472
54.97291,191.93878,385.29315,473
55.141365,398.59753,341.63333,474
54.706734,499.01593,337.06534,475
54.979694,629.7146,333.56784,476
54.767174,646.2112,332.1653,477
55.959957,201.18059,350.9376,478
55.493202,353.00427,344.39087,479
56.091774,401.25238,396.14124,480
56.318237,433.64072,364.70352,481
56.272625,615.93445,337.71442,482
55.588974,660.71954,376.96674,483
55.98428,664.8522,335.17075,484
55.40596,675.8092,336.5899,485
57.171696,146.98419,352.12598,486
57.04683,185.27351,359.36523,487
56.710724,276.9741,349.58633,488
56.535236,416.12906,343.53445,489
57.330086,626.78827,383.62552,490
58.323673,128.48155,366.58725,491
59.097782,183.61584,354.84055,492
57.149864,340.39618,346.7311,493
57.70134,381.69562,394.42316,494
58.89164,200.9735,396.94308,495
60.364586,217.52864,356.74097,496
59.336544,427.9197,348.04642,497
58.561615,488.97394,347.53693,498
59.09746,501.59137,348.768,499
59.04368,545.5624,344.207,500
58.878437,700.6196,339.97153,501
59.691887,332.35184,348.9347,502
59.80178,462.13046,349.1776,503
59.325817,627.6008,342.81976,504
60.25041,646.5072,342.97778,505
60.39185,161.38046,356.06082,506
60.43304,192.18823,393.11682,507
60.902752,255.6363,353.99225,508
61.280556,447.1735,349.65482,509
61.12409,584.8791,344.14688,510
61.19025,691.6724,365.51587,511
61.767162,243.12094,357.74414,512
60.13849,388.19388,352.0535,513
62.31054,393.3284,364.0431,514
61.78134,394.8006,387.01013,515
62.171894,468.5884,353.61166,516
62.16549,511.44333,350.6498,517
62.28173,575.2807,347.83258,518
62.619884,607.3852,348.74036,519
62.976383,129.42334,360.92667,520
63.49908,159.41064,384.5953,521
62.55007,299.3972,375.48627,522
62.555912,364.00873,353.5414,523
62.871395,544.2433,466.04593,524
63.068977,635.7955,398.96744,525
63.80248,107.18778,356.91318,526
62.907646,141.17502,360.82217,527
63.498096,188.39444,358.3806,528
64.19713,296.21686,360.49124,529
64.5613,317.28055,438.8035,530
64.078186,350.16782,356.9047,531
63.68575,370.90244,390.9183,532
