,0,1,2,3
618,7,"485,443","2.14,4.58",25.0
619,7,"485,443","1.66,3.87",26.0
620,7,485,0.62,27.0
621,7,485,1.52,28.0
622,7,485,1.08,29.0
623,7,485,1.09,30.0
624,7,485,1.01,31.0
625,7,485,1.48,32.0
626,7,485,1.64,33.0
627,7,485,1.57,34.0
628,7,485,1.43,35.0
629,7,485,1.53,36.0
630,7,485,1.43,37.0
631,7,485,1.41,38.0
632,7,485,1.33,39.0
633,7,485,1.45,40.0
634,7,485,1.49,41.0
635,7,485,1.41,42.0
636,7,485,1.34,43.0
637,7,485,1.48,44.0
638,7,485,1.39,45.0
639,7,485,1.47,46.0
640,7,485,1.36,47.0
641,7,485,1.55,48.0
642,7,485,1.60,49.0
643,7,485,1.37,50.0
644,7,485,1.35,51.0
645,7,485,1.17,52.0
646,7,485,1.05,53.0
647,7,485,1.04,54.0
648,7,485,1.14,55.0
649,7,485,1.12,56.0
650,7,485,1.24,57.0
651,7,485,1.82,58.0
652,7,485,1.88,59.0
653,7,485,1.86,60.0
654,7,485,1.99,61.0
655,7,485,1.92,62.0
656,7,485,1.93,63.0
657,7,485,1.78,64.0
658,7,485,1.85,65.0
659,7,485,1.85,66.0
660,7,485,1.78,67.0
661,7,485,1.86,68.0
662,7,485,1.83,69.0
663,7,485,1.81,70.0
664,7,485,1.76,71.0
665,7,485,1.75,72.0
666,7,485,1.71,73.0
667,7,485,1.72,74.0
668,7,485,1.70,75.0
669,7,485,1.98,76.0
670,7,485,1.83,77.0
671,7,485,1.86,78.0
672,7,485,1.97,79.0
673,7,485,1.83,80.0
674,7,485,1.87,81.0
675,7,485,1.97,82.0
676,7,485,2.46,83.0
677,7,485,2.15,84.0
678,7,485,1.89,85.0
679,7,485,1.96,86.0
680,7,485,2.07,87.0
681,7,485,2.32,88.0
682,7,485,2.06,89.0
683,7,485,1.64,90.0
684,7,485,1.64,91.0
685,7,485,1.66,92.0
686,7,485,2.20,93.0
687,7,485,1.84,94.0
688,7,485,1.56,95.0
689,7,485,2.55,96.0
690,7,485,2.22,97.0
691,7,485,2.59,98.0
692,7,485,2.05,99.0
693,8,484,3.78,1.0
694,8,484,3.72,2.0
695,8,2191,1.72,3.0
696,8,2191,1.63,4.0
697,8,2191,3.64,5.0
698,8,484,1.46,6.0
699,8,3226,1.80,7.0
700,8,3226,1.86,8.0
701,8,3226,1.70,9.0
702,8,"484,2407","2.02,4.85",10.0
703,8,484,1.31,11.0
704,8,484,1.82,12.0
705,8,"3226,484","4.05,2.62",13.0
706,8,3226,1.91,14.0
707,8,3226,1.66,15.0
708,8,"3226,484","2.24,4.59",16.0
709,8,"3226,484","3.04,2.77",17.0
710,8,"3226,6746","2.35,4.13",18.0
711,8,3226,1.57,19.0
712,8,3226,1.87,20.0
713,8,3226,1.70,21.0
714,8,3226,1.76,22.0
715,8,3226,1.69,23.0
716,8,3226,1.78,24.0
717,8,3226,1.75,25.0
718,8,3226,1.69,26.0
719,8,"3226,9744","2.82,3.24",27.0
720,8,"3226,9744","2.41,4.50",28.0
721,8,3226,1.85,29.0
722,8,3226,2.37,30.0
723,8,3226,1.68,31.0
724,8,3224,1.93,32.0
725,8,"3226,3224","3.50,2.85",33.0
726,8,"3226,3224","3.13,3.73",34.0
