ID (Dino),Track Length (Dino),Track Coverage,Missing Time Points,CME Data
39.0,45.0,0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 36.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 53.0, 57.0, 58.0, 59.0, 60.0, 61.0, 62.0, 80.0]","4926.0,1,3.0;265.0,4,48.0;415.0,10,39.0;265.0,11,48.0;3913.0,12,5.0;3173.0,16,7.0;4444.0,23,4.0;1622.0,27,15.0;4532.0,28,4.0;232.0,32,51.0;1179.0,38,20.0;1435.0,39,17.0;5398.0,45,3.0"
40.0,45.0,7,"[1.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 53.0, 54.0, 55.0, 57.0, 61.0, 65.0, 66.0, 69.0]","945.0,1,23.0;1741.0,18,14.0;1513.0,23,16.0;1930.0,31,13.0;6037.0,43,2.0;2128.0,45,12.0"
41.0,67.0,29,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 23.0, 32.0, 33.0, 34.0, 37.0, 49.0, 50.0, 51.0, 52.0, 53.0, 54.0, 55.0, 56.0, 57.0, 59.0, 62.0, 63.0, 64.0, 65.0, 66.0, 67.0, 93.0, 94.0]","3464.0,1,6.0;3492.0,5,6.0;4975.0,7,3.0;2421.0,9,10.0;2647.0,13,9.0;2421.0,15,10.0;1085.0,16,21.0;221.0,17,52.0;1022.0,21,22.0;299.0,22,46.0;1022.0,26,22.0;122.0,34,66.0;6039.0,37,2.0;691.0,39,29.0;3790.0,62,6.0"
42.0,52.0,0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 27.0, 30.0, 31.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 49.0, 50.0, 51.0, 52.0, 53.0, 54.0, 55.0, 56.0, 57.0, 59.0, 61.0, 63.0]","1477.0,1,16.0;122.0,16,66.0;1299.0,21,18.0;2451.0,22,10.0;1319.0,26,18.0;122.0,41,66.0;1539.0,49,16.0"
43.0,40.0,1,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 61.0, 62.0]","2605.0,1,9.0;3887.0,6,5.0;1299.0,11,18.0;5080.0,23,3.0;2451.0,26,10.0;1319.0,30,18.0;2702.0,38,9.0;1539.0,39,16.0;2519.0,40,10.0"
44.0,31.0,0,"[1.0, 7.0, 8.0, 9.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 47.0, 51.0, 53.0, 54.0, 55.0, 56.0, 57.0, 58.0, 60.0, 61.0, 63.0, 64.0, 67.0, 68.0, 69.0, 72.0, 75.0, 77.0, 82.0, 83.0, 93.0]","837.0,1,25.0;3872.0,2,5.0;837.0,4,25.0;808.0,9,26.0;1243.0,11,19.0;236.0,12,51.0;1243.0,13,19.0;236.0,14,51.0;437.0,19,38.0;236.0,20,51.0"
45.0,51.0,0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 11.0, 12.0, 13.0, 14.0, 15.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 36.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 56.0, 60.0, 61.0, 62.0, 63.0, 64.0, 65.0, 68.0, 69.0, 71.0, 77.0, 78.0]","837.0,1,25.0;2217.0,15,11.0;670.0,19,29.0;5080.0,23,3.0;670.0,24,29.0;437.0,31,38.0;1243.0,36,19.0;236.0,40,51.0"
46.0,35.0,0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 52.0, 53.0, 54.0, 55.0, 56.0, 57.0, 58.0, 59.0, 60.0, 61.0, 62.0, 63.0, 64.0, 65.0, 66.0, 67.0, 68.0, 69.0, 70.0, 71.0]","616.0,1,30.0;480.0,16,36.0;532.0,27,34.0"
47.0,42.0,0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0]","368.0,1,41.0;1145.0,5,20.0;368.0,8,41.0;1145.0,15,20.0;368.0,17,41.0;418.0,28,39.0"
48.0,42.0,0,"[1.0, 2.0, 3.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 14.0, 15.0, 16.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 38.0, 39.0, 40.0, 41.0, 45.0, 52.0, 53.0, 55.0, 56.0, 57.0, 59.0, 60.0, 61.0, 63.0]","1702.0,1,14.0;4941.0,2,3.0;4951.0,4,3.0;1702.0,6,14.0;671.0,9,29.0;3168.0,12,7.0;2438.0,15,10.0;5087.0,17,3.0;2455.0,20,10.0;5795.0,23,2.0;2455.0,24,10.0;671.0,28,29.0;5856.0,29,2.0;2478.0,31,10.0;3650.0,34,6.0;687.0,39,29.0;182.0,42,57.0"
49.0,59.0,0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 22.0, 23.0, 24.0, 25.0, 26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 54.0, 70.0, 71.0, 72.0, 73.0, 74.0, 75.0, 76.0, 77.0, 78.0, 79.0, 80.0, 81.0, 82.0, 83.0, 84.0, 85.0, 86.0, 87.0, 88.0, 89.0, 90.0, 91.0, 92.0, 93.0, 94.0]","4926.0,1,3.0;265.0,4,48.0;2883.0,13,8.0;265.0,21,48.0;164.0,24,60.0;265.0,25,48.0;5786.0,27,2.0;265.0,28,48.0;164.0,29,60.0;265.0,30,48.0;164.0,31,60.0;265.0,32,48.0;213.0,33,53.0;3293.0,34,7.0;2522.0,35,10.0;3362.0,37,7.0;943.0,42,24.0;1983.0,52,13.0;3074.0,57,8.0"
