ID (CME),Missing Time Points,ID (Dino),x (CME),y (CME),z (CME),x (Dino),y (Dino),z (Dino),t,t_start (CME),t_start (Dino),FI (CME),FI (Dino),Track Length (CME),Track Length (Dino),Distance
11.0,88,6767.0,364.34,376.51,66.14,371.25238,371.50626,74.08136,88.0,1.0,18.0,57.078,103.67357,99.0,76.0,11.656912537271632
11.0,89,6767.0,365.75,376.39,66.33,371.6259,371.38358,73.91739,89.0,1.0,18.0,61.281,88.787796,99.0,76.0,10.823997830676978
11.0,90,6767.0,364.29,377.31,65.98,371.15048,371.70343,73.83589,90.0,1.0,18.0,64.069,120.68898,99.0,76.0,11.841233917434437
11.0,91,6767.0,363.65,376.7,65.79,371.48532,371.8603,72.82963,91.0,1.0,18.0,59.506,104.18982,99.0,76.0,11.591864652820105
11.0,92,6767.0,363.62,376.61,65.85,371.2929,371.51334,73.500435,92.0,1.0,18.0,70.249,110.87955,99.0,76.0,11.974075883124527
11.0,94,36475.0,363.2,377.49,65.19,363.28622,391.19257,60.689846,94.0,1.0,94.0,61.419,73.723724,99.0,1.0,14.422872270009725
11.0,96,36135.0,363.47,377.35,65.92,360.33075,375.8665,66.4163,96.0,1.0,93.0,78.265,115.90728,99.0,5.0,3.5074173550491787
13.0,31,652.0,377.13,263.03,72.731,375.64523,262.22345,75.862595,31.0,1.0,1.0,107.25,176.10495,99.0,77.0,3.5583636828498673
13.0,94,32675.0,376.01,261.03,70.51,375.51126,248.53677,72.980194,94.0,1.0,80.0,46.258,112.683685,99.0,15.0,12.744857622513306
13.0,95,547.0,373.18,258.49,69.394,357.61264,243.66922,63.552944,95.0,1.0,1.0,51.614,100.93567,99.0,91.0,22.27366499642878
13.0,96,547.0,373.19,257.68,69.381,357.6884,242.33894,61.50223,96.0,1.0,1.0,51.588,116.76486,99.0,91.0,23.18884950135517
13.0,97,33515.0,372.95,257.67,68.73,386.74045,268.8763,82.15292,97.0,1.0,82.0,45.884,104.9337,99.0,13.0,22.269540907232468
13.0,98,37228.0,372.95,257.4,69.497,362.51355,273.0703,66.20074,98.0,1.0,98.0,44.911,108.8843,99.0,1.0,19.11395094375047
13.0,99,37598.0,373.25,256.79,68.07,363.73425,262.51025,66.981186,99.0,1.0,99.0,41.98,90.66983,99.0,1.0,11.155997223538382
14.0,1,682.0,391.39,147.27,78.768,388.33554,146.12169,83.13111,1.0,1.0,1.0,101.7,305.1633,99.0,95.0,5.448400739648297
14.0,2,682.0,391.91,148.65,79.003,387.99902,146.32808,82.66453,2.0,1.0,1.0,88.799,286.91574,99.0,95.0,5.838996402439414
14.0,3,2208.0,392.8,149.05,78.905,396.51212,152.84174,86.15243,3.0,1.0,3.0,77.674,214.1759,99.0,47.0,8.982336484840651
14.0,4,682.0,391.45,148.52,79.217,388.76443,147.00119,81.4831,4.0,1.0,1.0,108.73,217.57233,99.0,95.0,3.828090810182002
14.0,5,682.0,391.54,148.41,78.949,388.99518,147.08766,81.85899,5.0,1.0,1.0,101.02,147.25949,99.0,95.0,4.08567420484063
14.0,6,682.0,391.91,149.04,78.986,388.566,147.46733,81.90517,6.0,1.0,1.0,90.641,171.51529,99.0,95.0,4.70926537984432
14.0,7,682.0,391.57,148.85,78.345,388.50903,147.292,81.4961,7.0,1.0,1.0,98.503,172.57776,99.0,95.0,4.661151419005819
14.0,8,682.0,391.55,148.99,78.989,388.31943,147.70288,82.37202,8.0,1.0,1.0,90.543,140.08662,99.0,95.0,4.85160640816009
14.0,9,682.0,390.54,149.36,78.749,388.03088,147.90018,81.61009,9.0,1.0,1.0,108.81,138.61766,99.0,95.0,4.075854952632641
14.0,10,682.0,391.36,149.37,79.366,388.6744,148.15248,82.275795,10.0,1.0,1.0,100.84,137.3998,99.0,95.0,4.142669339016228
14.0,11,682.0,390.43,149.53,79.03,388.35443,148.22296,81.6134,11.0,1.0,1.0,108.77,243.96817,99.0,95.0,3.5623447259494836
14.0,13,682.0,391.35,149.24,78.919,388.777,148.16917,82.265686,13.0,1.0,1.0,97.901,150.69363,99.0,95.0,4.3551478817023215
14.0,14,682.0,391.31,149.83,79.815,388.63214,148.69293,82.115135,14.0,1.0,1.0,112.52,220.43991,99.0,95.0,3.708703733479542
14.0,95,35427.0,391.73,152.03,81.131,397.53516,145.223,86.86204,95.0,1.0,90.0,62.827,118.3621,99.0,6.0,10.624497687288551
14.0,96,35883.0,391.46,151.77,81.057,398.3278,145.2663,87.42291,96.0,1.0,92.0,70.462,150.0115,99.0,6.0,11.401298200560351
